<com.coveros.training.expenses.AlcoholCalculator: com.coveros.training.expenses.AlcoholResult calculate(com.coveros.training.expenses.DinnerPrices)>	calculate	com.coveros.training.expenses.DinnerPrices	com.coveros.training.expenses.AlcoholCalculator	com.coveros.training.expenses.AlcoholResult	(Lcom/coveros/training/expenses/DinnerPrices;)Lcom/coveros/training/expenses/AlcoholResult;	1
<com.coveros.training.helpers.ServletUtils: void forwardToResult(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,org.slf4j.Logger)>	forwardToResult	javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,org.slf4j.Logger	com.coveros.training.helpers.ServletUtils	void	(Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;Lorg/slf4j/Logger;)V	3
<com.coveros.training.helpers.ServletUtils: void forwardToRestfulResult(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,org.slf4j.Logger)>	forwardToRestfulResult	javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,org.slf4j.Logger	com.coveros.training.helpers.ServletUtils	void	(Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;Lorg/slf4j/Logger;)V	3
<com.coveros.training.persistence.EmptyDataSource: java.sql.Connection getConnection(java.lang.String,java.lang.String)>	getConnection	java.lang.String,java.lang.String	com.coveros.training.persistence.EmptyDataSource	java.sql.Connection	(Ljava/lang/String;Ljava/lang/String;)Ljava/sql/Connection;	2
<com.coveros.training.persistence.EmptyDataSource: java.lang.Object unwrap(java.lang.Class)>	unwrap	java.lang.Class	com.coveros.training.persistence.EmptyDataSource	java.lang.Object	(Ljava/lang/Class;)Ljava/lang/Object;	1
<com.coveros.training.persistence.EmptyDataSource: boolean isWrapperFor(java.lang.Class)>	isWrapperFor	java.lang.Class	com.coveros.training.persistence.EmptyDataSource	boolean	(Ljava/lang/Class;)Z	1
<com.coveros.training.persistence.EmptyDataSource: void setLogWriter(java.io.PrintWriter)>	setLogWriter	java.io.PrintWriter	com.coveros.training.persistence.EmptyDataSource	void	(Ljava/io/PrintWriter;)V	1
<com.coveros.training.persistence.EmptyDataSource: void setLoginTimeout(int)>	setLoginTimeout	int	com.coveros.training.persistence.EmptyDataSource	void	(I)V	1
<com.coveros.training.expenses.DinnerPrices: void <init>(double,double,double,double)>	<init>	double,double,double,double	com.coveros.training.expenses.DinnerPrices	void	(DDDD)V	4
<com.coveros.training.helpers.AssertionException: void <init>(java.lang.String)>	<init>	java.lang.String	com.coveros.training.helpers.AssertionException	void	(Ljava/lang/String;)V	1
<com.coveros.training.mathematics.Calculator$iFoo: int doComplexThing(int)>	doComplexThing	int	com.coveros.training.mathematics.Calculator$iFoo	int	(I)I	1
<com.coveros.training.helpers.CheckUtils: void IntParameterMustBePositive(long)>	IntParameterMustBePositive	long	com.coveros.training.helpers.CheckUtils	void	(J)V	1
<com.coveros.training.helpers.CheckUtils: void StringMustNotBeNullOrEmpty(java.lang.String[])>	StringMustNotBeNullOrEmpty	java.lang.String[]	com.coveros.training.helpers.CheckUtils	void	([Ljava/lang/String;)V	1
<com.coveros.training.helpers.CheckUtils: void mustBeTrueAtThisPoint(boolean,java.lang.String)>	mustBeTrueAtThisPoint	boolean,java.lang.String	com.coveros.training.helpers.CheckUtils	void	(ZLjava/lang/String;)V	2
<com.coveros.training.library.LibraryBorrowerListSearchServlet: void doGet(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>	doGet	javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse	com.coveros.training.library.LibraryBorrowerListSearchServlet	void	(Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;)V	2
<com.coveros.training.library.LibraryBorrowerListSearchServlet: java.lang.String searchByName(java.lang.String)>	searchByName	java.lang.String	com.coveros.training.library.LibraryBorrowerListSearchServlet	java.lang.String	(Ljava/lang/String;)Ljava/lang/String;	1
<com.coveros.training.library.LibraryBorrowerListSearchServlet: java.lang.String searchById(java.lang.String)>	searchById	java.lang.String	com.coveros.training.library.LibraryBorrowerListSearchServlet	java.lang.String	(Ljava/lang/String;)Ljava/lang/String;	1
<com.coveros.training.mathematics.AckermannIterative$$: com.coveros.training.mathematics.AckermannIterative$$ valueOf(java.lang.String)>	valueOf	java.lang.String	com.coveros.training.mathematics.AckermannIterative$$	com.coveros.training.mathematics.AckermannIterative$$	(Ljava/lang/String;)Lcom/coveros/training/mathematics/AckermannIterative$$;	1
<com.coveros.training.mathematics.AckermannIterative$$: void <init>(java.lang.String,int)>	<init>	java.lang.String,int	com.coveros.training.mathematics.AckermannIterative$$	void	(Ljava/lang/String;I)V	2
<com.coveros.training.mathematics.AckermannIterative$$: com.coveros.training.mathematics.AckermannIterative tail(java.math.BigInteger,java.math.BigInteger,java.util.Deque,boolean)>	tail	java.math.BigInteger,java.math.BigInteger,java.util.Deque,boolean	com.coveros.training.mathematics.AckermannIterative$$	com.coveros.training.mathematics.AckermannIterative	(Ljava/math/BigInteger;Ljava/math/BigInteger;Ljava/util/Deque;Z)Lcom/coveros/training/mathematics/AckermannIterative;	4
<com.coveros.training.mathematics.AckermannIterative$$: java.math.BigInteger main(java.math.BigInteger,java.math.BigInteger)>	main	java.math.BigInteger,java.math.BigInteger	com.coveros.training.mathematics.AckermannIterative$$	java.math.BigInteger	(Ljava/math/BigInteger;Ljava/math/BigInteger;)Ljava/math/BigInteger;	2
<com.coveros.training.mathematics.AckermannIterative$$: boolean lambda$static$3(com.coveros.training.mathematics.AckermannIterative)>	lambda$static$3	com.coveros.training.mathematics.AckermannIterative	com.coveros.training.mathematics.AckermannIterative$$	boolean	(Lcom/coveros/training/mathematics/AckermannIterative;)Z	1
<com.coveros.training.mathematics.AckermannIterative$$: com.coveros.training.mathematics.AckermannIterative lambda$static$2(com.coveros.training.mathematics.AckermannIterative)>	lambda$static$2	com.coveros.training.mathematics.AckermannIterative	com.coveros.training.mathematics.AckermannIterative$$	com.coveros.training.mathematics.AckermannIterative	(Lcom/coveros/training/mathematics/AckermannIterative;)Lcom/coveros/training/mathematics/AckermannIterative;	1
<com.coveros.training.mathematics.AckermannIterative$$: com.coveros.training.mathematics.AckermannIterative lambda$static$1(java.math.BigInteger,java.math.BigInteger)>	lambda$static$1	java.math.BigInteger,java.math.BigInteger	com.coveros.training.mathematics.AckermannIterative$$	com.coveros.training.mathematics.AckermannIterative	(Ljava/math/BigInteger;Ljava/math/BigInteger;)Lcom/coveros/training/mathematics/AckermannIterative;	2
<com.coveros.training.mathematics.AckermannIterative$$: java.lang.Object lambda$tail$0(java.math.BigInteger,java.math.BigInteger,java.util.Deque,boolean,com.coveros.training.mathematics.AckermannIterative$$$Field)>	lambda$tail$0	java.math.BigInteger,java.math.BigInteger,java.util.Deque,boolean,com.coveros.training.mathematics.AckermannIterative$$$Field	com.coveros.training.mathematics.AckermannIterative$$	java.lang.Object	(Ljava/math/BigInteger;Ljava/math/BigInteger;Ljava/util/Deque;ZLcom/coveros/training/mathematics/AckermannIterative$$$Field;)Ljava/lang/Object;	5
<com.coveros.training.mathematics.AckServlet: int putNumberInRequest(java.lang.String,javax.servlet.http.HttpServletRequest)>	putNumberInRequest	java.lang.String,javax.servlet.http.HttpServletRequest	com.coveros.training.mathematics.AckServlet	int	(Ljava/lang/String;Ljavax/servlet/http/HttpServletRequest;)I	2
<com.coveros.training.mathematics.AckServlet: void doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>	doPost	javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse	com.coveros.training.mathematics.AckServlet	void	(Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;)V	2
<com.coveros.training.mathematics.AckServlet: void forwardToResult(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,org.slf4j.Logger)>	forwardToResult	javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,org.slf4j.Logger	com.coveros.training.mathematics.AckServlet	void	(Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;Lorg/slf4j/Logger;)V	3
<com.coveros.training.mathematics.AckServlet: void regularRecursive(javax.servlet.http.HttpServletRequest,int,int)>	regularRecursive	javax.servlet.http.HttpServletRequest,int,int	com.coveros.training.mathematics.AckServlet	void	(Ljavax/servlet/http/HttpServletRequest;II)V	3
<com.coveros.training.mathematics.AckServlet: void tailRecursive(javax.servlet.http.HttpServletRequest,int,int)>	tailRecursive	javax.servlet.http.HttpServletRequest,int,int	com.coveros.training.mathematics.AckServlet	void	(Ljavax/servlet/http/HttpServletRequest;II)V	3
<com.coveros.training.library.LibraryRegisterBorrowerServlet: void doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>	doPost	javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse	com.coveros.training.library.LibraryRegisterBorrowerServlet	void	(Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;)V	2
<com.coveros.training.mathematics.Ackermann: java.math.BigInteger ack(java.math.BigInteger,java.math.BigInteger)>	ack	java.math.BigInteger,java.math.BigInteger	com.coveros.training.mathematics.Ackermann	java.math.BigInteger	(Ljava/math/BigInteger;Ljava/math/BigInteger;)Ljava/math/BigInteger;	2
<com.coveros.training.mathematics.Ackermann: java.math.BigInteger calculate(int,int)>	calculate	int,int	com.coveros.training.mathematics.Ackermann	java.math.BigInteger	(II)Ljava/math/BigInteger;	2
<com.coveros.training.library.LibraryBookListAvailableServlet: void doGet(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>	doGet	javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse	com.coveros.training.library.LibraryBookListAvailableServlet	void	(Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;)V	2
<com.coveros.training.mathematics.FibServlet: int putNumberInRequest(java.lang.String,javax.servlet.http.HttpServletRequest)>	putNumberInRequest	java.lang.String,javax.servlet.http.HttpServletRequest	com.coveros.training.mathematics.FibServlet	int	(Ljava/lang/String;Ljavax/servlet/http/HttpServletRequest;)I	2
<com.coveros.training.mathematics.FibServlet: void doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>	doPost	javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse	com.coveros.training.mathematics.FibServlet	void	(Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;)V	2
<com.coveros.training.mathematics.FibServlet: void tailRecursiveAlgo2Calc(javax.servlet.http.HttpServletRequest,int)>	tailRecursiveAlgo2Calc	javax.servlet.http.HttpServletRequest,int	com.coveros.training.mathematics.FibServlet	void	(Ljavax/servlet/http/HttpServletRequest;I)V	2
<com.coveros.training.mathematics.FibServlet: void tailRecursiveAlgo1Calc(javax.servlet.http.HttpServletRequest,int)>	tailRecursiveAlgo1Calc	javax.servlet.http.HttpServletRequest,int	com.coveros.training.mathematics.FibServlet	void	(Ljavax/servlet/http/HttpServletRequest;I)V	2
<com.coveros.training.mathematics.FibServlet: void forwardToResult(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,org.slf4j.Logger)>	forwardToResult	javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,org.slf4j.Logger	com.coveros.training.mathematics.FibServlet	void	(Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;Lorg/slf4j/Logger;)V	3
<com.coveros.training.mathematics.FibServlet: void defaultRecursiveCalculation(javax.servlet.http.HttpServletRequest,int)>	defaultRecursiveCalculation	javax.servlet.http.HttpServletRequest,int	com.coveros.training.mathematics.FibServlet	void	(Ljavax/servlet/http/HttpServletRequest;I)V	2
<com.coveros.training.authentication.RegistrationUtils: void <init>(com.coveros.training.persistence.IPersistenceLayer)>	<init>	com.coveros.training.persistence.IPersistenceLayer	com.coveros.training.authentication.RegistrationUtils	void	(Lcom/coveros/training/persistence/IPersistenceLayer;)V	1
<com.coveros.training.authentication.RegistrationUtils: com.coveros.training.authentication.domainobjects.RegistrationResult processRegistration(java.lang.String,java.lang.String)>	processRegistration	java.lang.String,java.lang.String	com.coveros.training.authentication.RegistrationUtils	com.coveros.training.authentication.domainobjects.RegistrationResult	(Ljava/lang/String;Ljava/lang/String;)Lcom/coveros/training/authentication/domainobjects/RegistrationResult;	2
<com.coveros.training.authentication.RegistrationUtils: com.coveros.training.authentication.domainobjects.PasswordResult isPasswordGood(java.lang.String)>	isPasswordGood	java.lang.String	com.coveros.training.authentication.RegistrationUtils	com.coveros.training.authentication.domainobjects.PasswordResult	(Ljava/lang/String;)Lcom/coveros/training/authentication/domainobjects/PasswordResult;	1
<com.coveros.training.authentication.RegistrationUtils: boolean isUserInDatabase(java.lang.String)>	isUserInDatabase	java.lang.String	com.coveros.training.authentication.RegistrationUtils	boolean	(Ljava/lang/String;)Z	1
<com.coveros.training.authentication.RegistrationUtils: void saveToDatabase(java.lang.String,java.lang.String)>	saveToDatabase	java.lang.String,java.lang.String	com.coveros.training.authentication.RegistrationUtils	void	(Ljava/lang/String;Ljava/lang/String;)V	2
<com.coveros.training.authentication.domainobjects.User: void <init>(java.lang.String,long)>	<init>	java.lang.String,long	com.coveros.training.authentication.domainobjects.User	void	(Ljava/lang/String;J)V	2
<com.coveros.training.authentication.domainobjects.User: boolean equals(java.lang.Object)>	equals	java.lang.Object	com.coveros.training.authentication.domainobjects.User	boolean	(Ljava/lang/Object;)Z	1
<com.coveros.training.persistence.SqlData: void <init>(java.lang.String,java.lang.String,java.lang.Object[])>	<init>	java.lang.String,java.lang.String,java.lang.Object[]	com.coveros.training.persistence.SqlData	void	(Ljava/lang/String;Ljava/lang/String;[Ljava/lang/Object;)V	3
<com.coveros.training.persistence.SqlData: void <init>(java.lang.String,java.lang.String,java.util.function.Function,java.lang.Object[])>	<init>	java.lang.String,java.lang.String,java.util.function.Function,java.lang.Object[]	com.coveros.training.persistence.SqlData	void	(Ljava/lang/String;Ljava/lang/String;Ljava/util/function/Function;[Ljava/lang/Object;)V	4
<com.coveros.training.persistence.SqlData: void generateParams(java.lang.Object[])>	generateParams	java.lang.Object[]	com.coveros.training.persistence.SqlData	void	([Ljava/lang/Object;)V	1
<com.coveros.training.persistence.SqlData: void addParameter(java.lang.Object,java.lang.Class)>	addParameter	java.lang.Object,java.lang.Class	com.coveros.training.persistence.SqlData	void	(Ljava/lang/Object;Ljava/lang/Class;)V	2
<com.coveros.training.persistence.SqlData: void applyParametersToPreparedStatement(java.sql.PreparedStatement)>	applyParametersToPreparedStatement	java.sql.PreparedStatement	com.coveros.training.persistence.SqlData	void	(Ljava/sql/PreparedStatement;)V	1
<com.coveros.training.persistence.SqlData: boolean equals(java.lang.Object)>	equals	java.lang.Object	com.coveros.training.persistence.SqlData	boolean	(Ljava/lang/Object;)Z	1
<com.coveros.training.persistence.SqlData: java.util.Optional lambda$new$0(java.sql.ResultSet)>	lambda$new$0	java.sql.ResultSet	com.coveros.training.persistence.SqlData	java.util.Optional	(Ljava/sql/ResultSet;)Ljava/util/Optional;	1
<com.coveros.training.mathematics.Calculator$Bar: int doOtherComplexThing(int)>	doOtherComplexThing	int	com.coveros.training.mathematics.Calculator$Bar	int	(I)I	1
<com.coveros.training.mathematics.AckermannIterative$$$Field: com.coveros.training.mathematics.AckermannIterative$$$Field valueOf(java.lang.String)>	valueOf	java.lang.String	com.coveros.training.mathematics.AckermannIterative$$$Field	com.coveros.training.mathematics.AckermannIterative$$$Field	(Ljava/lang/String;)Lcom/coveros/training/mathematics/AckermannIterative$$$Field;	1
<com.coveros.training.mathematics.AckermannIterative$$$Field: void <init>(java.lang.String,int)>	<init>	java.lang.String,int	com.coveros.training.mathematics.AckermannIterative$$$Field	void	(Ljava/lang/String;I)V	2
<com.coveros.training.mathematics.Calculator$iBar: int doOtherComplexThing(int)>	doOtherComplexThing	int	com.coveros.training.mathematics.Calculator$iBar	int	(I)I	1
<com.coveros.training.authentication.LoginUtils: void <init>(com.coveros.training.persistence.IPersistenceLayer)>	<init>	com.coveros.training.persistence.IPersistenceLayer	com.coveros.training.authentication.LoginUtils	void	(Lcom/coveros/training/persistence/IPersistenceLayer;)V	1
<com.coveros.training.authentication.LoginUtils: boolean isUserRegistered(java.lang.String,java.lang.String)>	isUserRegistered	java.lang.String,java.lang.String	com.coveros.training.authentication.LoginUtils	boolean	(Ljava/lang/String;Ljava/lang/String;)Z	2
<com.coveros.training.authentication.LoginServlet: void doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>	doPost	javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse	com.coveros.training.authentication.LoginServlet	void	(Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;)V	2
<com.coveros.training.authentication.RegisterServlet: void doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>	doPost	javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse	com.coveros.training.authentication.RegisterServlet	void	(Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;)V	2
<com.coveros.training.authentication.RegisterServlet: void forwardToResult(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,org.slf4j.Logger)>	forwardToResult	javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,org.slf4j.Logger	com.coveros.training.authentication.RegisterServlet	void	(Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;Lorg/slf4j/Logger;)V	3
<com.coveros.training.library.domainobjects.Book: void <init>(long,java.lang.String)>	<init>	long,java.lang.String	com.coveros.training.library.domainobjects.Book	void	(JLjava/lang/String;)V	2
<com.coveros.training.library.domainobjects.Book: boolean equals(java.lang.Object)>	equals	java.lang.Object	com.coveros.training.library.domainobjects.Book	boolean	(Ljava/lang/Object;)Z	1
<com.coveros.training.cartesianproduct.CartesianProduct: java.lang.String calculate(java.util.Set)>	calculate	java.util.Set	com.coveros.training.cartesianproduct.CartesianProduct	java.lang.String	(Ljava/util/Set;)Ljava/lang/String;	1
<com.coveros.training.library.LibraryUtils: void <init>(com.coveros.training.persistence.IPersistenceLayer)>	<init>	com.coveros.training.persistence.IPersistenceLayer	com.coveros.training.library.LibraryUtils	void	(Lcom/coveros/training/persistence/IPersistenceLayer;)V	1
<com.coveros.training.library.LibraryUtils: com.coveros.training.library.domainobjects.LibraryActionResults lendBook(java.lang.String,java.lang.String,java.sql.Date)>	lendBook	java.lang.String,java.lang.String,java.sql.Date	com.coveros.training.library.LibraryUtils	com.coveros.training.library.domainobjects.LibraryActionResults	(Ljava/lang/String;Ljava/lang/String;Ljava/sql/Date;)Lcom/coveros/training/library/domainobjects/LibraryActionResults;	3
<com.coveros.training.library.LibraryUtils: com.coveros.training.library.domainobjects.LibraryActionResults lendBook(com.coveros.training.library.domainobjects.Book,com.coveros.training.library.domainobjects.Borrower,java.sql.Date)>	lendBook	com.coveros.training.library.domainobjects.Book,com.coveros.training.library.domainobjects.Borrower,java.sql.Date	com.coveros.training.library.LibraryUtils	com.coveros.training.library.domainobjects.LibraryActionResults	(Lcom/coveros/training/library/domainobjects/Book;Lcom/coveros/training/library/domainobjects/Borrower;Ljava/sql/Date;)Lcom/coveros/training/library/domainobjects/LibraryActionResults;	3
<com.coveros.training.library.LibraryUtils: void createLoan(com.coveros.training.library.domainobjects.Book,com.coveros.training.library.domainobjects.Borrower,java.sql.Date)>	createLoan	com.coveros.training.library.domainobjects.Book,com.coveros.training.library.domainobjects.Borrower,java.sql.Date	com.coveros.training.library.LibraryUtils	void	(Lcom/coveros/training/library/domainobjects/Book;Lcom/coveros/training/library/domainobjects/Borrower;Ljava/sql/Date;)V	3
<com.coveros.training.library.LibraryUtils: com.coveros.training.library.domainobjects.LibraryActionResults registerBorrower(java.lang.String)>	registerBorrower	java.lang.String	com.coveros.training.library.LibraryUtils	com.coveros.training.library.domainobjects.LibraryActionResults	(Ljava/lang/String;)Lcom/coveros/training/library/domainobjects/LibraryActionResults;	1
<com.coveros.training.library.LibraryUtils: void saveNewBorrower(java.lang.String)>	saveNewBorrower	java.lang.String	com.coveros.training.library.LibraryUtils	void	(Ljava/lang/String;)V	1
<com.coveros.training.library.LibraryUtils: com.coveros.training.library.domainobjects.LibraryActionResults registerBook(java.lang.String)>	registerBook	java.lang.String	com.coveros.training.library.LibraryUtils	com.coveros.training.library.domainobjects.LibraryActionResults	(Ljava/lang/String;)Lcom/coveros/training/library/domainobjects/LibraryActionResults;	1
<com.coveros.training.library.LibraryUtils: void saveNewBook(java.lang.String)>	saveNewBook	java.lang.String	com.coveros.training.library.LibraryUtils	void	(Ljava/lang/String;)V	1
<com.coveros.training.library.LibraryUtils: com.coveros.training.library.domainobjects.Loan searchForLoanByBook(com.coveros.training.library.domainobjects.Book)>	searchForLoanByBook	com.coveros.training.library.domainobjects.Book	com.coveros.training.library.LibraryUtils	com.coveros.training.library.domainobjects.Loan	(Lcom/coveros/training/library/domainobjects/Book;)Lcom/coveros/training/library/domainobjects/Loan;	1
<com.coveros.training.library.LibraryUtils: java.util.List searchForLoanByBorrower(com.coveros.training.library.domainobjects.Borrower)>	searchForLoanByBorrower	com.coveros.training.library.domainobjects.Borrower	com.coveros.training.library.LibraryUtils	java.util.List	(Lcom/coveros/training/library/domainobjects/Borrower;)Ljava/util/List;	1
<com.coveros.training.library.LibraryUtils: com.coveros.training.library.domainobjects.Borrower searchForBorrowerByName(java.lang.String)>	searchForBorrowerByName	java.lang.String	com.coveros.training.library.LibraryUtils	com.coveros.training.library.domainobjects.Borrower	(Ljava/lang/String;)Lcom/coveros/training/library/domainobjects/Borrower;	1
<com.coveros.training.library.LibraryUtils: com.coveros.training.library.domainobjects.Book searchForBookByTitle(java.lang.String)>	searchForBookByTitle	java.lang.String	com.coveros.training.library.LibraryUtils	com.coveros.training.library.domainobjects.Book	(Ljava/lang/String;)Lcom/coveros/training/library/domainobjects/Book;	1
<com.coveros.training.library.LibraryUtils: com.coveros.training.library.domainobjects.Book searchForBookById(long)>	searchForBookById	long	com.coveros.training.library.LibraryUtils	com.coveros.training.library.domainobjects.Book	(J)Lcom/coveros/training/library/domainobjects/Book;	1
<com.coveros.training.library.LibraryUtils: com.coveros.training.library.domainobjects.Borrower searchForBorrowerById(long)>	searchForBorrowerById	long	com.coveros.training.library.LibraryUtils	com.coveros.training.library.domainobjects.Borrower	(J)Lcom/coveros/training/library/domainobjects/Borrower;	1
<com.coveros.training.library.LibraryUtils: com.coveros.training.library.domainobjects.LibraryActionResults deleteBook(com.coveros.training.library.domainobjects.Book)>	deleteBook	com.coveros.training.library.domainobjects.Book	com.coveros.training.library.LibraryUtils	com.coveros.training.library.domainobjects.LibraryActionResults	(Lcom/coveros/training/library/domainobjects/Book;)Lcom/coveros/training/library/domainobjects/LibraryActionResults;	1
<com.coveros.training.library.LibraryUtils: com.coveros.training.library.domainobjects.LibraryActionResults deleteBorrower(com.coveros.training.library.domainobjects.Borrower)>	deleteBorrower	com.coveros.training.library.domainobjects.Borrower	com.coveros.training.library.LibraryUtils	com.coveros.training.library.domainobjects.LibraryActionResults	(Lcom/coveros/training/library/domainobjects/Borrower;)Lcom/coveros/training/library/domainobjects/LibraryActionResults;	1
<com.coveros.training.persistence.DbServlet: void <init>(com.coveros.training.persistence.IPersistenceLayer)>	<init>	com.coveros.training.persistence.IPersistenceLayer	com.coveros.training.persistence.DbServlet	void	(Lcom/coveros/training/persistence/IPersistenceLayer;)V	1
<com.coveros.training.persistence.DbServlet: void doGet(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>	doGet	javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse	com.coveros.training.persistence.DbServlet	void	(Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;)V	2
<com.coveros.training.library.LibraryBookListSearchServlet: void doGet(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>	doGet	javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse	com.coveros.training.library.LibraryBookListSearchServlet	void	(Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;)V	2
<com.coveros.training.library.LibraryBookListSearchServlet: java.lang.String searchByTitle(java.lang.String)>	searchByTitle	java.lang.String	com.coveros.training.library.LibraryBookListSearchServlet	java.lang.String	(Ljava/lang/String;)Ljava/lang/String;	1
<com.coveros.training.library.LibraryBookListSearchServlet: java.lang.String searchById(java.lang.String)>	searchById	java.lang.String	com.coveros.training.library.LibraryBookListSearchServlet	java.lang.String	(Ljava/lang/String;)Ljava/lang/String;	1
<com.coveros.training.mathematics.Fibonacci: long calculate(long)>	calculate	long	com.coveros.training.mathematics.Fibonacci	long	(J)J	1
<com.coveros.training.library.domainobjects.LibraryActionResults: com.coveros.training.library.domainobjects.LibraryActionResults valueOf(java.lang.String)>	valueOf	java.lang.String	com.coveros.training.library.domainobjects.LibraryActionResults	com.coveros.training.library.domainobjects.LibraryActionResults	(Ljava/lang/String;)Lcom/coveros/training/library/domainobjects/LibraryActionResults;	1
<com.coveros.training.library.domainobjects.LibraryActionResults: void <init>(java.lang.String,int)>	<init>	java.lang.String,int	com.coveros.training.library.domainobjects.LibraryActionResults	void	(Ljava/lang/String;I)V	2
<com.coveros.training.expenses.AlcoholResult: void <init>(java.lang.Double,java.lang.Double,java.lang.Double)>	<init>	java.lang.Double,java.lang.Double,java.lang.Double	com.coveros.training.expenses.AlcoholResult	void	(Ljava/lang/Double;Ljava/lang/Double;Ljava/lang/Double;)V	3
<com.coveros.training.library.domainobjects.Borrower: void <init>(long,java.lang.String)>	<init>	long,java.lang.String	com.coveros.training.library.domainobjects.Borrower	void	(JLjava/lang/String;)V	2
<com.coveros.training.library.domainobjects.Borrower: boolean equals(java.lang.Object)>	equals	java.lang.Object	com.coveros.training.library.domainobjects.Borrower	boolean	(Ljava/lang/Object;)Z	1
<com.coveros.training.persistence.SqlRuntimeException: void <init>(java.lang.Exception)>	<init>	java.lang.Exception	com.coveros.training.persistence.SqlRuntimeException	void	(Ljava/lang/Exception;)V	1
<com.coveros.training.persistence.SqlRuntimeException: void <init>(java.lang.String)>	<init>	java.lang.String	com.coveros.training.persistence.SqlRuntimeException	void	(Ljava/lang/String;)V	1
<com.coveros.training.mathematics.Calculator$Foo: int doComplexThing(int)>	doComplexThing	int	com.coveros.training.mathematics.Calculator$Foo	int	(I)I	1
<com.coveros.training.mathematics.Calculator$Baz: void <init>(com.coveros.training.mathematics.Calculator)>	<init>	com.coveros.training.mathematics.Calculator	com.coveros.training.mathematics.Calculator$Baz	void	(Lcom/coveros/training/mathematics/Calculator;)V	1
<com.coveros.training.mathematics.Calculator$Baz: int doThirdPartyThing(int)>	doThirdPartyThing	int	com.coveros.training.mathematics.Calculator$Baz	int	(I)I	1
<com.coveros.training.mathematics.FunctionalField: java.lang.Object untypedField(java.lang.Enum)>	untypedField	java.lang.Enum	com.coveros.training.mathematics.FunctionalField	java.lang.Object	(Ljava/lang/Enum;)Ljava/lang/Object;	1
<com.coveros.training.mathematics.FunctionalField: java.lang.Object field(java.lang.Enum)>	field	java.lang.Enum	com.coveros.training.mathematics.FunctionalField	java.lang.Object	(Ljava/lang/Enum;)Ljava/lang/Object;	1
<com.coveros.training.mathematics.AckermannIterative: java.math.BigInteger calculate(int,int)>	calculate	int,int	com.coveros.training.mathematics.AckermannIterative	java.math.BigInteger	(II)Ljava/math/BigInteger;	2
